Title,Division
"(재)지도자육성재단 참빛장학생 선발안내
",행사
"2008학년도 사리원시 봉산군 장학회 장학생 선발 공고
",행사
"2008학년도 1학기 농촌희망대학 장학생 선발 안내
",행사
"2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내
",행사
"재단법인 함경북도장학회 2008년도 장학생 모집
",행사
"2008년도 1학기 정부보증 학자금대출 안내
",행사
"한국고등교육재단 장학생 선발
",행사
"2008학년도 산학협동재단 일반장학생 선발안내
",행사
"< 이·공계 인재 육성 장학금 > 8차 장학생 선발 안내
",행사
"“G마켓 희망 장학금” 세부운영 안내
",행사
"2008-1학기 숙명면학장려/후생복지 장학금 장학생 추가선발 안내
",행사
"08년 1월 19일 MATE 졸업자격시험 시행 안내
",행사
"숙명인 영어인재화 프로젝트~~!!
",행사
"[12.24~28] 학생서비스센터 보관습득물 안내
",행사
"[학부]2008년 1학기 휴학,복학 일정 안내
",행사
"[대학원]2008년 1학기 휴학, 복학 신청 안내
",학사
"08년 1월 19일 MATE 졸업자격시험 시행 안내
",학사
"교내 행정부서 단기 아르바이트 모집
",행사
"국제언어교육원 영어강좌 강의계획안
",행사
"교양 '결혼과가족' 수강신청 전에 읽어보세요.
",행사
"[경영전문대학원] 전임조교모집
",행사
"2008 미국하계리더십연수 최종 합격자 명단 공지
",학생
"커뮤니티숙명 'e-민원센터'가 달라졌습니다.
",행사
"2008-1학기 숙명면학장려/후생복지 장학금 장학생 추가선발 안내
",행사
"“G마켓 희망 장학금” 세부운영 안내
",행사
"< 이·공계 인재 육성 장학금 > 8차 장학생 선발 안내
",행사
"2008학년도 산학협동재단 일반장학생 선발안내
",행사
"한국고등교육재단 장학생 선발
",행사
"2008년도 1학기 정부보증 학자금대출 안내
",행사
"재단법인 함경북도장학회 2008년도 장학생 모집
",행사
"2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내
",행사
"2008학년도 1학기 농촌희망대학 장학생 선발 안내
",학생
"2008학년도 사리원시 봉산군 장학회 장학생 선발 공고
",학사
"(재)지도자육성재단 참빛장학생 선발안내
",학사
"08년 1월 19일 MATE 졸업자격시험 시행 안내
",학사
"동파방지 안내(문단속 철저!)
",학사
"2008-1 교양교과목 학점취득 특별시험 실시 안내
",학사
"숙명인 영어인재화 프로젝트~~!!
",행사
"장갑잃어버린분-교내여행사
",학사
"[공지] 학칙개정안
",학사
"2007 교직복수(부)전공이수예정자 추가선발안내
",학사
"[경영전문대학원] 전임조교모집
",학사
"박코치 소리영어 훈련소
",학사
"동계 사회봉사교과목 자료 입력 및 제출 안내
",학사
"08년 1월 19일 MATE 졸업자격시험 시행 안내
",학사
"2007년 1월 5일(토) MOS테스트 시간안내
",학사
"2008학년도 1학기 정부보증학자금 대출 안내
",학사
"우수학생장학금 장학생 선발안내
",학사
"2008학년도 1학기 정부보증학자금 대출 안내
",학사
"제21회 국제생물올림피아드 (IBO 2010) 행사 장소 공모
",학사
"항공사별 항공권 특가모음
",학사
"“G마켓 희망 장학금” 세부운영 안내
",학사
"< 이·공계 인재 육성 장학금 > 8차 장학생 선발 안내
",학사
"2008학년도 산학협동재단 일반장학생 선발안내
",학사
"한국고등교육재단 장학생 선발
",학사
"2008년도 1학기 정부보증 학자금대출 안내
",학사
"재단법인 함경북도장학회 2008년도 장학생 모집
",학사
"2008 인도네시아정부 초청 Darmasiswa 장학생 선발 안내
",학사
